Rank,Title,Year,Rating,Votes,DurationMin,Genres,Directors,Stars,URL,Poster,Description
70,12th Fail,2023.0,8.7,157688,147,"Biography, Drama",,,https://www.imdb.com/title/tt23849204/,https://m.media-amazon.com/images/M/MV5BNTE3OTIxZDYtNjA0NC00N2YxLTg1NGQtOTYxNmZkMDkwOWNjXkEyXkFqcGc@._V1_.jpg,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.
71,The Dark Knight Rises,2012.0,8.4,1947317,164,"Action, Crime, Drama",,,https://www.imdb.com/title/tt1345836/,https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_.jpg,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again."
72,Coco,2017.0,8.4,672472,105,"Animation, Adventure, Drama",,,https://www.imdb.com/title/tt2380307/,https://m.media-amazon.com/images/M/MV5BMDIyM2E2NTAtMzlhNy00ZGUxLWI1NjgtZDY5MzhiMDc5NGU3XkEyXkFqcGc@._V1_.jpg,"Aspiring musician Miguel, confronted with his family&apos;s ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
73,Tengoku to jigoku,1963.0,8.4,64668,143,"Crime, Drama, Mystery",,,https://www.imdb.com/title/tt0057565/,https://m.media-amazon.com/images/M/MV5BMGJiNzllYjktODAzNS00OGUzLTlmY2MtMjA2ZTZhYTY1OTc4XkEyXkFqcGc@._V1_.jpg,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur&apos;s son is kidnapped by mistake and held for ransom.
74,Avengers: Endgame,2019.0,8.4,1394377,181,"Action, Adventure, Sci-Fi",,,https://www.imdb.com/title/tt4154796/,https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_.jpg,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos&apos; actions and restore balance to the universe."
75,Amadeus,1984.0,8.4,456037,160,"Biography, Drama, Music",,,https://www.imdb.com/title/tt0086879/,https://m.media-amazon.com/images/M/MV5BMzc2MjM0NTMtOGY4NC00NzY1LWE2ODUtZjMzY2RhNGNkZDAyXkEyXkFqcGc@._V1_.jpg,"The life and work of Wolfgang Amadeus Mozart seen through the eyes of his contemporary and rival, Antonio Salieri."
76,Good Will Hunting,1998.0,8.3,1168981,126,"Drama, Romance",,,https://www.imdb.com/title/tt0119217/,https://m.media-amazon.com/images/M/MV5BNDdjZGQ5YzEtNTc2My00Mjc0LWFlMTctYzkwMzZlNzdiZWYzXkEyXkFqcGc@._V1_.jpg,"A therapist counsels Will Hunting, a janitor with a genius IQ."
77,Toy Story,1995.0,8.3,1144387,81,"Animation, Adventure, Comedy",,,https://www.imdb.com/title/tt0114709/,https://m.media-amazon.com/images/M/MV5BZTA3OWVjOWItNjE1NS00NzZiLWE1MjgtZDZhMWI1ZTlkNzYwXkEyXkFqcGc@._V1_.jpg,"A cowboy doll is profoundly jealous when a new spaceman action figure supplants him as the top toy in a boy&apos;s bedroom. When circumstances separate them from their owner, the duo have to put aside their differences to return to him."
78,Oldeuboi,2003.0,8.3,696275,120,"Action, Drama, Mystery",,,https://www.imdb.com/title/tt0364569/,https://m.media-amazon.com/images/M/MV5BMTAwNzNjYWItZmI0Ni00ZTcyLWIwNWMtZjlmNGMxZTEyYTJmXkEyXkFqcGc@._V1_.jpg,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days."
79,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964.0,8.3,544230,95,"Comedy, War",,,https://www.imdb.com/title/tt0057012/,https://m.media-amazon.com/images/M/MV5BMjFjYzBlOTktMTI2OS00ZWVhLTgxMDUtNzAwODY2NmI3YTAzXkEyXkFqcGc@._V1_.jpg,"A mentally unstable American general orders a hydrogen bomb attack on the Soviet Union, triggering a path to global nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
80,Das Boot,1982.0,8.4,282921,149,"Drama, War",,,https://www.imdb.com/title/tt0082096/,https://m.media-amazon.com/images/M/MV5BNGU0MWZlMTUtM2Y3Ny00NGNmLWE5NmEtN2YxOWQzMGM3ZWYzXkEyXkFqcGc@._V1_.jpg,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.
81,Kimi no Na wa.,2017.0,8.4,372527,106,"Animation, Drama, Fantasy",,,https://www.imdb.com/title/tt5311514/,https://m.media-amazon.com/images/M/MV5BMjI1ODZkYTgtYTY3Yy00ZTJkLWFkOTgtZDUyYWM4MzQwNjk0XkEyXkFqcGc@._V1_.jpg,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person."
82,Braveheart,1995.0,8.3,1143007,178,"Biography, Drama, War",,,https://www.imdb.com/title/tt0112573/,https://m.media-amazon.com/images/M/MV5BNGMxZDBhNGQtYTZlNi00N2UzLWI4NDEtNmUzNWM2NTdmZDA0XkEyXkFqcGc@._V1_.jpg,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
83,Mononoke-hime,1997.0,8.3,470483,133,"Animation, Adventure, Fantasy",,,https://www.imdb.com/title/tt0119698/,https://m.media-amazon.com/images/M/MV5BZTcyN2Y0MDYtMGI1NC00MWQ1LWFhZGMtN2U4NTcxZGYyNjljXkEyXkFqcGc@._V1_.jpg,"While seeking to cure himself of a curse, young warrior Ashitaka stumbles into a conflict between the people of Iron Town and Princess Mononoke, a girl raised by wolves, who will stop at nothing to prevent the destruction of her h..."
84,American Beauty,1999.0,8.3,1263010,122,Drama,,,https://www.imdb.com/title/tt0169547/,https://m.media-amazon.com/images/M/MV5BMDI1MDE0OTMtMmI2MS00Yjc2LTg2MTItMWExYTg5NzA1OGUzXkEyXkFqcGc@._V1_.jpg,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter&apos;s best friend.
85,3 Idiots,2009.0,8.4,469243,170,"Comedy, Drama",,,https://www.imdb.com/title/tt1187043/,https://m.media-amazon.com/images/M/MV5BNzc4ZWQ3NmYtODE0Ny00YTQ4LTlkZWItNTBkMGQ0MmUwMmJlXkEyXkFqcGc@._V1_.jpg,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them &quot;idiots&quot;."
86,Joker,2019.0,8.3,1646631,122,"Crime, Drama, Thriller",,,https://www.imdb.com/title/tt7286456/,https://m.media-amazon.com/images/M/MV5BNzY3OWQ5NDktNWQ2OC00ZjdlLThkMmItMDhhNDk3NTFiZGU4XkEyXkFqcGc@._V1_.jpg,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City."
87,Capharnaüm,2018.0,8.4,119724,126,Drama,,,https://www.imdb.com/title/tt8267604/,https://m.media-amazon.com/images/M/MV5BYzEyMzQ1OTktZTljZi00OWQzLWE2ZmUtZjQyNzBjYjE1NTc0XkEyXkFqcGc@._V1_.jpg,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
88,Once Upon a Time in America,1984.0,8.3,401046,229,"Crime, Drama",,,https://www.imdb.com/title/tt0087843/,https://m.media-amazon.com/images/M/MV5BMDQ0ZTg2OGUtZjMyOC00M2M5LThkMmItZmM2MmUzMmIxMWJhXkEyXkFqcGc@._V1_.jpg,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
89,Singin&apos; in the Rain,1952.0,8.3,276918,103,"Comedy, Musical, Romance",,,https://www.imdb.com/title/tt0045152/,https://m.media-amazon.com/images/M/MV5BMGQzZDFjZWUtZDU4ZS00ZjM3LTgyYmItYjA3YmIwYzRkZWY3XkEyXkFqcGc@._V1_.jpg,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
90,Idi i smotri,1985.0,8.3,116872,142,"Drama, Thriller, War",,,https://www.imdb.com/title/tt0091251/,https://m.media-amazon.com/images/M/MV5BNDlkZmVkZDAtZGFmMS00OWIzLWJkY2YtNWE5NjNhNjhiZGE3XkEyXkFqcGc@._V1_.jpg,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
91,Requiem for a Dream,2000.0,8.3,953899,102,Drama,,,https://www.imdb.com/title/tt0180093/,https://m.media-amazon.com/images/M/MV5BN2ZlMjIzZjctYzA2My00ZWYyLWI4ZjctMGI2NWYyNzFiZjAwXkEyXkFqcGc@._V1_.jpg,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
92,Star Wars: Episode VI - Return of the Jedi,1983.0,8.3,1184276,131,"Action, Adventure, Fantasy",,,https://www.imdb.com/title/tt0086190/,https://m.media-amazon.com/images/M/MV5BNWEwOTI0MmUtMGNmNy00ODViLTlkZDQtZTg1YmQ3MDgyNTUzXkEyXkFqcGc@._V1_.jpg,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side."
93,Toy Story 3,2010.0,8.3,947934,103,"Animation, Adventure, Comedy",,,https://www.imdb.com/title/tt0435761/,https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_.jpg,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it&apos;s up to Woody to convince the other toys that they weren&apos;t abandoned and to return home."
94,Jagten,2012.0,8.3,397249,115,Drama,,,https://www.imdb.com/title/tt2106476/,https://m.media-amazon.com/images/M/MV5BMTg2NDg3ODg4NF5BMl5BanBnXkFtZTcwNzk3NTc3Nw@@._V1_.jpg,"A teacher lives a lonely life, all the while struggling over his son&apos;s custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent li..."
95,Ikiru,1956.0,8.3,99283,143,Drama,,,https://www.imdb.com/title/tt0044741/,https://m.media-amazon.com/images/M/MV5BMmNlZTk4ZjQtY2I5NS00NmNiLTlkNmUtYTc3YmE0ZTk3OGNiXkEyXkFqcGc@._V1_.jpg,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
96,Eternal Sunshine of the Spotless Mind,2004.0,8.3,1156318,108,"Drama, Romance, Sci-Fi",,,https://www.imdb.com/title/tt0338013/,https://m.media-amazon.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_.jpg,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever."
97,Incendies,2011.0,8.3,238187,131,"Drama, Mystery, War",,,https://www.imdb.com/title/tt1255953/,https://m.media-amazon.com/images/M/MV5BYWFmMjdmNjctNzhhOC00ZmMzLTkwOGItMmVmZDU4MjE2MTYwXkEyXkFqcGc@._V1_.jpg,Twins journey to the Middle East to discover their family history and fulfill their mother&apos;s last wishes.
98,The Apartment,1960.0,8.3,213293,125,"Comedy, Drama, Romance",,,https://www.imdb.com/title/tt0053604/,https://m.media-amazon.com/images/M/MV5BNDdhMzVhOWQtNDU2Mi00ZmZmLWJiZDMtY2QxMjhjY2Y1ZTI5XkEyXkFqcGc@._V1_.jpg,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters."
99,Lawrence of Arabia,2013.0,8.3,334476,227,"Adventure, Biography, Drama",,,https://www.imdb.com/title/tt0056172/,https://m.media-amazon.com/images/M/MV5BYjY0YTQ1OTAtYjEyNy00NTQ4LThlMTQtM2QwYTVhYWFhNjU5XkEyXkFqcGc@._V1_.jpg,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
100,2001: A Space Odyssey,1968.0,8.3,766057,149,"Adventure, Sci-Fi",,,https://www.imdb.com/title/tt0062622/,https://m.media-amazon.com/images/M/MV5BNjU0NDFkMTQtZWY5OS00MmZhLTg3Y2QtZmJhMzMzMWYyYjc2XkEyXkFqcGc@._V1_.jpg,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins."
101,Reservoir Dogs,1992.0,8.3,1149260,99,"Crime, Thriller",,,https://www.imdb.com/title/tt0105236/,https://m.media-amazon.com/images/M/MV5BMmMzYjg4NDctYWY0Mi00OGViLWIzMTMtYWNlZGY5ZDJmYjk3XkEyXkFqcGc@._V1_.jpg,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
102,Scarface,1983.0,8.3,988568,170,"Crime, Drama",,,https://www.imdb.com/title/tt0086250/,https://m.media-amazon.com/images/M/MV5BNDUzYjY0NmUtMDM4OS00Y2Q5LWJiODYtNTk0ZTk0YjZhMTg1XkEyXkFqcGc@._V1_.jpg,"In the 1980s, a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Miami, and is eventually undone by his own drug addiction."
103,Heat,1995.0,8.3,776749,170,"Action, Crime, Drama",,,https://www.imdb.com/title/tt0113277/,https://m.media-amazon.com/images/M/MV5BMTkxYjU1OTMtYWViZC00ZjAzLWI3MDktZGQ2N2VmMjVjNDRlXkEyXkFqcGc@._V1_.jpg,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.
104,Double Indemnity,1944.0,8.3,177344,107,"Crime, Drama, Film-Noir",,,https://www.imdb.com/title/tt0036775/,https://m.media-amazon.com/images/M/MV5BM2YwNjZlZDktNTlmNS00ODQwLWJmNmUtYmE1NTBhYjc1YTY5XkEyXkFqcGc@._V1_.jpg,"An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator."
105,Up,2009.0,8.3,1204996,96,"Animation, Adventure, Comedy",,,https://www.imdb.com/title/tt1049413/,https://m.media-amazon.com/images/M/MV5BNmI1ZTc5MWMtMDYyOS00ZDc2LTkzOTAtNjQ4NWIxNjYyNDgzXkEyXkFqcGc@._V1_.jpg,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway."
106,North by Northwest,1959.0,8.3,364592,136,"Adventure, Drama, Mystery",,,https://www.imdb.com/title/tt0053125/,https://m.media-amazon.com/images/M/MV5BZWIzODI2OGItMzM0Ny00OGRmLTlkNmItMDQxMTFmMTk3YmQwXkEyXkFqcGc@._V1_.jpg,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
107,M - Eine Stadt sucht einen Mörder,1931.0,8.3,179631,99,"Crime, Mystery, Thriller",,,https://www.imdb.com/title/tt0022100/,https://m.media-amazon.com/images/M/MV5BODA4ODk3OTEzMF5BMl5BanBnXkFtZTgwMTQ2ODMwMzE@._V1_.jpg,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
108,Full Metal Jacket,1987.0,8.2,834881,116,"Drama, War",,,https://www.imdb.com/title/tt0093058/,https://m.media-amazon.com/images/M/MV5BYWUzNzZkNzUtNDdiYy00Nzk5LTgxMmItNTk0MjRjNjdjNDA0XkEyXkFqcGc@._V1_.jpg,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
109,Citizen Kane,1941.0,8.2,487125,119,"Drama, Mystery",,,https://www.imdb.com/title/tt0033467/,https://m.media-amazon.com/images/M/MV5BYjk1ZDJlMmUtOWQ0Zi00MDM5LTk1OGYtODczNjFmMGYwZGVkXkEyXkFqcGc@._V1_.jpg,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: &apos;Rosebud.&apos;"
110,Vertigo,1958.0,8.2,451572,128,"Mystery, Romance, Thriller",,,https://www.imdb.com/title/tt0052357/,https://m.media-amazon.com/images/M/MV5BNzEyZTUxMWItMGVhYy00Y2NlLTljYTMtYzBmMzI1YmUyMDBkXkEyXkFqcGc@._V1_.jpg,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
111,Le fabuleux destin d&apos;Amélie Poulain,2002.0,8.3,827430,122,"Comedy, Romance",,,https://www.imdb.com/title/tt0211915/,https://m.media-amazon.com/images/M/MV5BOTNmYzY0MWQtZGZmNy00Y2Y4LWFmMDQtMTZjYTdiYzEwZGQ2XkEyXkFqcGc@._V1_.jpg,"Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love."
112,Taare Zameen Par,2007.0,8.3,225663,162,"Drama, Family",,,https://www.imdb.com/title/tt0986264/,https://m.media-amazon.com/images/M/MV5BNjVmMTlkNGYtYTM2OC00Yjc2LWIyYmQtMDY4ZmU1MWRlMjA3XkEyXkFqcGc@._V1_.jpg,A young boy is thought to be nothing but a lazy troublemaker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.
113,Jodaeiye Nader az Simin,2011.0,8.3,273298,123,Drama,,,https://www.imdb.com/title/tt1832382/,https://m.media-amazon.com/images/M/MV5BMDM0ZWRmMzctM2M5ZS00ZjU0LWIxN2MtNWNlNGY1ZDhjMDVhXkEyXkFqcGc@._V1_.jpg,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer&apos;s disease.
114,To Kill a Mockingbird,1963.0,8.3,346892,129,"Crime, Drama",,,https://www.imdb.com/title/tt0056592/,https://m.media-amazon.com/images/M/MV5BZTlkYWU4MGEtZmQyYi00OWEzLTgzY2EtYzVjOTEzYzAyNTk1XkEyXkFqcGc@._V1_.jpg,A widowed lawyer in Depression-era Alabama defends a black man against a false rape charge while teaching his young children about the sad reality of prejudice.
115,Die Hard,1988.0,8.2,1003700,132,"Action, Thriller",,,https://www.imdb.com/title/tt0095016/,https://m.media-amazon.com/images/M/MV5BMGNlYmM1NmQtYWExMS00NmRjLTg5ZmEtMmYyYzJkMzljYWMxXkEyXkFqcGc@._V1_.jpg,"A New York City cop, John McClane, tries to save his estranged wife and several others taken hostage by terrorists during a Christmas Eve party at the Nakatomi Plaza Skyscraper in Los Angeles, California."
116,Indiana Jones and the Last Crusade,1989.0,8.2,849751,127,"Action, Adventure",,,https://www.imdb.com/title/tt0097576/,https://m.media-amazon.com/images/M/MV5BNGIxNzQ0YzYtMjNmYi00YjBlLWFjNzEtNGE3ZGFmYTczM2MwXkEyXkFqcGc@._V1_.jpg,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers."
117,The Sting,1973.0,8.2,294856,129,"Comedy, Crime, Drama",,,https://www.imdb.com/title/tt0070735/,https://m.media-amazon.com/images/M/MV5BZGI4OTk4MDMtYmQ1Ni00YTUzLTkyYTktZGUwMjMyN2M4NjQ5XkEyXkFqcGc@._V1_.jpg,Two grifters team up to pull off the ultimate con.
118,A Clockwork Orange,1972.0,8.2,922597,136,"Crime, Sci-Fi",,,https://www.imdb.com/title/tt0066921/,https://m.media-amazon.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_.jpg,Alex DeLarge and his droogs barbarize a decaying near-future.
119,Metropolis,1927.0,8.3,197308,153,"Drama, Sci-Fi",,,https://www.imdb.com/title/tt0017136/,https://m.media-amazon.com/images/M/MV5BMjhjMGYyMjAtMzJkYy00NzhlLWIwY2MtMWQ2ODIxZDUyOGYyXkEyXkFqcGc@._V1_.jpg,"In a futuristic city sharply divided between the working class and the city planners, the son of the city&apos;s mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
120,Snatch,2001.0,8.2,959158,102,"Comedy, Crime",,,https://www.imdb.com/title/tt0208092/,https://m.media-amazon.com/images/M/MV5BYzk5NjJkMTQtN2IyNC00YWM5LTlhZmMtNGI3MWNhMTU1YTc4XkEyXkFqcGc@._V1_.jpg,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
121,1917,2020.0,8.2,746199,119,"Action, Drama, War",,,https://www.imdb.com/title/tt8579674/,https://m.media-amazon.com/images/M/MV5BYzkxZjg2NDQtMGVjMy00NWZkLTk0ZDEtZWE3NDYwYjAyMTg1XkEyXkFqcGc@._V1_.jpg,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
122,Oppenheimer,2023.0,8.3,947633,180,"Biography, Drama, History",,,https://www.imdb.com/title/tt15398776/,https://m.media-amazon.com/images/M/MV5BN2JkMDc5MGQtZjg3YS00NmFiLWIyZmQtZTJmNTM5MjVmYTQ4XkEyXkFqcGc@._V1_.jpg,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II."
123,L.A. Confidential,1997.0,8.2,649026,138,"Crime, Drama, Mystery",,,https://www.imdb.com/title/tt0119488/,https://m.media-amazon.com/images/M/MV5BODdiMjY1OGYtNDk0NC00NGQ1LWI4MDItOTJhMTM0YjE1YTAzXkEyXkFqcGc@._V1_.jpg,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
124,Der Untergang,2005.0,8.2,393784,156,"Biography, Drama, History",,,https://www.imdb.com/title/tt0363163/,https://m.media-amazon.com/images/M/MV5BMTU0NTU5NTAyMl5BMl5BanBnXkFtZTYwNzYwMDg2._V1_.jpg,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator&apos;s final days in his Berlin bunker at the end of WWII."
125,Ladri di biciclette,1949.0,8.2,188945,89,Drama,,,https://www.imdb.com/title/tt0040522/,https://m.media-amazon.com/images/M/MV5BMjIzMzAyMzg1Nl5BMl5BanBnXkFtZTgwMzMyNzk0MTE@._V1_.jpg,"In post-war Italy, a working-class man&apos;s bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
126,Dangal,2016.0,8.3,233153,161,"Action, Biography, Drama",,,https://www.imdb.com/title/tt5074352/,https://m.media-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_.jpg,"Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas."
127,One Battle After Another,2025.0,8.3,104179,161,"Action, Crime, Drama",,,https://www.imdb.com/title/tt30144839/,https://m.media-amazon.com/images/M/MV5BMzBkZmQ0NjMtNTZlMy00ZjdlLTg5ODUtYWFlNGM0YzE3MTg0XkEyXkFqcGc@._V1_.jpg,"When their evil enemy resurfaces after 16 years, a group of ex-revolutionaries reunite to rescue the daughter of one of their own."
128,The Wolf of Wall Street,2013.0,8.2,1728061,180,"Biography, Comedy, Crime",,,https://www.imdb.com/title/tt0993846/,https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_.jpg,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
129,Green Book,2018.0,8.2,657230,130,"Biography, Comedy, Drama",,,https://www.imdb.com/title/tt6966692/,https://m.media-amazon.com/images/M/MV5BNDU5YTNmMmItN2QxNy00OGQ0LTg5MTctNzFmYjEzZjcwN2UwXkEyXkFqcGc@._V1_.jpg,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
130,The Truman Show,1998.0,8.2,1321804,103,"Comedy, Drama",,,https://www.imdb.com/title/tt0120382/,https://m.media-amazon.com/images/M/MV5BNzA3ZjZlNzYtMTdjMy00NjMzLTk5ZGYtMTkyYzNiOGM1YmM3XkEyXkFqcGc@._V1_.jpg,An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.
131,Hamilton,2020.0,8.3,133708,160,"Biography, Drama, History",,,https://www.imdb.com/title/tt8503618/,https://m.media-amazon.com/images/M/MV5BYTc3MWIyMzAtMTZmNC00YmNjLWIyZTgtMmU4NjZkYzZkOThkXkEyXkFqcGc@._V1_.jpg,"The real life of one of America&apos;s foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
132,Batman Begins,2005.0,8.2,1676002,140,"Action, Crime, Drama",,,https://www.imdb.com/title/tt0372784/,https://m.media-amazon.com/images/M/MV5BODIyMDdhNTgtNDlmOC00MjUxLWE2NDItODA5MTdkNzY3ZTdhXkEyXkFqcGc@._V1_.jpg,"After witnessing his parents&apos; death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city."
133,Taxi Driver,1976.0,8.2,999427,114,"Crime, Drama",,,https://www.imdb.com/title/tt0075314/,https://m.media-amazon.com/images/M/MV5BZDNhMGYwM2UtMTdlZS00MGQ1LWI2YzAtODY5YWI1MjYyNzRmXkEyXkFqcGc@._V1_.jpg,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
134,Per qualche dollaro in più,1967.0,8.2,294021,132,"Drama, Western",,,https://www.imdb.com/title/tt0059578/,https://m.media-amazon.com/images/M/MV5BNTRmOTcyYmYtMTIwNi00ZGYyLTk4YjYtZGJlZTgwZGY0NGQyXkEyXkFqcGc@._V1_.jpg,Two bounty killers with similar intentions but different motivations team up to take down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.
135,Judgment at Nuremberg,1961.0,8.3,93840,179,"Drama, History, War",,,https://www.imdb.com/title/tt0055031/,https://m.media-amazon.com/images/M/MV5BNDc2ODQ5NTE2MV5BMl5BanBnXkFtZTcwODExMjUyNA@@._V1_.jpg,"Fictionalized depiction of the 1947 Judges&apos; Trial, the third of 12 trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their actions."
136,Shutter Island,2010.0,8.2,1587902,138,"Drama, Mystery, Thriller",,,https://www.imdb.com/title/tt1130884/,https://m.media-amazon.com/images/M/MV5BN2FjNWExYzEtY2YzOC00YjNlLTllMTQtNmIwM2Q1YzBhOWM1XkEyXkFqcGc@._V1_.jpg,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.
137,Some Like It Hot,1959.0,8.2,299566,121,"Comedy, Music, Romance",,,https://www.imdb.com/title/tt0053291/,https://m.media-amazon.com/images/M/MV5BZTllZDYyNjEtY2RmMS00NmJhLWI4ODAtMTQ0NWFiZTJhZjA0XkEyXkFqcGc@._V1_.jpg,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
138,Jurassic Park,1993.0,8.2,1147914,127,"Action, Adventure, Sci-Fi",,,https://www.imdb.com/title/tt0107290/,https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_.jpg,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone&apos;s lives, including his grandchildren&apos;s, in danger."
139,Hababam Sinifi: Sinifta Kaldi,,8.6,28505,95,Comedy,,,https://www.imdb.com/title/tt0252488/,https://m.media-amazon.com/images/M/MV5BZmY3MjVhMmQtOTcwYy00ZjcyLWFiZDgtN2JiODVjNjQzYWQyXkEyXkFqcGc@._V1_.jpg,A young and beautiful female teacher starts working in an all boys high school.
